regionRes,provRes,cityMunRes,regionResGeo,psgc
Region X: Northern Mindanao,BUKIDNON,KALILANGAN,Region X,PH101307000
Region X: Northern Mindanao,LANAO DEL NORTE,MAIGO,Region X,PH103512000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,SAPANG DALAGA,Region X,PH104213000
Region X: Northern Mindanao,MISAMIS ORIENTAL,NAAWAN,Region X,PH104320000
Region XI: Davao Region,DAVAO DEL NORTE,CARMEN,Region XI,PH112303000
Region XI: Davao Region,DAVAO ORIENTAL,BANAYBANAY,Region XI,PH112502000
Region XI: Davao Region,DAVAO ORIENTAL,CATEEL,Region XI,PH112505000
Region XI: Davao Region,DAVAO ORIENTAL,SAN ISIDRO,Region XI,PH112510000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,BAGUMBAYAN,Region XII,PH126501000
Region XII: SOCCSKSARGEN,SARANGANI,MAASIM,Region XII,PH128004000
NCR,NCR,PATEROS,National Capital Region,PH137606000
CAR,ABRA,BANGUED (CAPITAL),Cordillera Administrative Region,PH140101000
CAR,ABRA,SAN QUINTIN,Cordillera Administrative Region,PH140123000
CAR,BENGUET,ATOK,Cordillera Administrative Region,PH141101000
CAR,BENGUET,BAGUIO CITY,Cordillera Administrative Region,PH141102000
CAR,BENGUET,ITOGON,Cordillera Administrative Region,PH141106000
CAR,BENGUET,LA TRINIDAD (CAPITAL),Cordillera Administrative Region,PH141110000
CAR,BENGUET,MANKAYAN,Cordillera Administrative Region,PH141111000
CAR,IFUGAO,LAGAWE (CAPITAL),Cordillera Administrative Region,PH142704000
CAR,IFUGAO,ALFONSO LISTA (POTIA),Cordillera Administrative Region,PH142707000
CAR,IFUGAO,HINGYON,Cordillera Administrative Region,PH142709000
CAR,IFUGAO,TINOC,Cordillera Administrative Region,PH142710000
CAR,IFUGAO,ASIPULO,Cordillera Administrative Region,PH142711000
CAR,KALINGA,PINUKPUK,Cordillera Administrative Region,PH143209000
CAR,KALINGA,CITY OF TABUK (CAPITAL),Cordillera Administrative Region,PH143213000
CAR,MOUNTAIN PROVINCE,BESAO,Cordillera Administrative Region,PH144403000
CAR,MOUNTAIN PROVINCE,BONTOC (CAPITAL),Cordillera Administrative Region,PH144404000
CAR,MOUNTAIN PROVINCE,SAGADA,Cordillera Administrative Region,PH144409000
CAR,MOUNTAIN PROVINCE,TADIAN,Cordillera Administrative Region,PH144410000
CAR,APAYAO,CALANASAN (BAYAG),Cordillera Administrative Region,PH148101000
CAR,APAYAO,CONNER,Cordillera Administrative Region,PH148102000
CAR,APAYAO,FLORA,Cordillera Administrative Region,PH148103000
CAR,APAYAO,LUNA,Cordillera Administrative Region,PH148105000
CAR,APAYAO,PUDTOL,Cordillera Administrative Region,PH148106000
CAR,APAYAO,SANTA MARCELA,Cordillera Administrative Region,PH148107000
BARMM,BASILAN,TUBURAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH150707000
BARMM,LANAO DEL SUR,MARANTAO,Bangsamoro Autonomous Region in Muslim Mindanao,PH153616000
BARMM,LANAO DEL SUR,MARAWI CITY (CAPITAL),Bangsamoro Autonomous Region in Muslim Mindanao,PH153617000
BARMM,LANAO DEL SUR,WAO,Bangsamoro Autonomous Region in Muslim Mindanao,PH153630000
BARMM,MAGUINDANAO,DATU ODIN SINSUAT (DINAIG),Bangsamoro Autonomous Region in Muslim Mindanao,PH153807000
BARMM,MAGUINDANAO,SULTAN KUDARAT (NULING),Bangsamoro Autonomous Region in Muslim Mindanao,PH153812000
BARMM,MAGUINDANAO,UPI,Bangsamoro Autonomous Region in Muslim Mindanao,PH153815000
BARMM,MAGUINDANAO,DATU ABDULLAH SANGKI,Bangsamoro Autonomous Region in Muslim Mindanao,PH153828000
BARMM,SULU,JOLO (CAPITAL),Bangsamoro Autonomous Region in Muslim Mindanao,PH156602000
BARMM,COTABATO CITY (NOT A PROVINCE),COTABATO CITY,Bangsamoro Autonomous Region in Muslim Mindanao,PH150702000
CARAGA,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),Region XIII,PH160202000
CARAGA,AGUSAN DEL NORTE,CITY OF CABADBARAN,Region XIII,PH160203000
CARAGA,AGUSAN DEL NORTE,MAGALLANES,Region XIII,PH160208000
CARAGA,AGUSAN DEL NORTE,NASIPIT,Region XIII,PH160209000
CARAGA,AGUSAN DEL SUR,ESPERANZA,Region XIII,PH160303000
CARAGA,AGUSAN DEL SUR,PROSPERIDAD (CAPITAL),Region XIII,PH160306000
CARAGA,AGUSAN DEL SUR,ROSARIO,Region XIII,PH160307000
CARAGA,SURIGAO DEL NORTE,SURIGAO CITY (CAPITAL),Region XIII,PH166724000
CARAGA,SURIGAO DEL SUR,CITY OF BISLIG,Region XIII,PH166803000
CARAGA,SURIGAO DEL SUR,HINATUAN,Region XIII,PH166809000
CARAGA,SURIGAO DEL SUR,CITY OF TANDAG (CAPITAL),Region XIII,PH166819000
CARAGA,DINAGAT ISLANDS,LIBJO (ALBOR),Region XIII,PH168504000
Region IV-B: MIMAROPA,MARINDUQUE,BOAC (CAPITAL),Region IV-B,PH174001000
Region IV-B: MIMAROPA,MARINDUQUE,MOGPOG,Region IV-B,PH174004000
Region IV-B: MIMAROPA,MARINDUQUE,TORRIJOS,Region IV-B,PH174006000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,MAMBURAO (CAPITAL),Region IV-B,PH175106000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,SABLAYAN,Region IV-B,PH175109000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,CITY OF CALAPAN (CAPITAL),Region IV-B,PH175205000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,NAUJAN,Region IV-B,PH175208000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,VICTORIA,Region IV-B,PH175215000
Region VIII: Eastern Visayas,LEYTE,TOLOSA,Region VIII,PH083749000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,TUKURAN,Region IX,PH097330000
Region I: Ilocos Region,ILOCOS NORTE,BACARRA,Region I,PH012802000
Region I: Ilocos Region,ILOCOS NORTE,PAOAY,Region I,PH012816000
Region I: Ilocos Region,ILOCOS NORTE,PINILI,Region I,PH012819000
Region I: Ilocos Region,ILOCOS NORTE,SARRAT,Region I,PH012821000
Region I: Ilocos Region,ILOCOS SUR,CAOAYAN,Region I,PH012907000
Region I: Ilocos Region,ILOCOS SUR,SAN JUAN (LAPOG),Region I,PH012920000
Region I: Ilocos Region,LA UNION,BANGAR,Region I,PH013306000
Region I: Ilocos Region,LA UNION,BURGOS,Region I,PH013308000
Region I: Ilocos Region,LA UNION,ROSARIO,Region I,PH013313000
Region I: Ilocos Region,LA UNION,TUBAO,Region I,PH013320000
Region I: Ilocos Region,PANGASINAN,BANI,Region I,PH015508000
Region I: Ilocos Region,PANGASINAN,BURGOS,Region I,PH015516000
Region I: Ilocos Region,PANGASINAN,SAN JACINTO,Region I,PH015534000
Region I: Ilocos Region,PANGASINAN,SAN MANUEL,Region I,PH015535000
Region I: Ilocos Region,PANGASINAN,SUAL,Region I,PH015542000
Region II: Cagayan Valley,CAGAYAN,RIZAL,Region II,PH021521000
Region III: Central Luzon,BATAAN,HERMOSA,Region III,PH030805000
Region III: Central Luzon,NUEVA ECIJA,LLANERA,Region III,PH034915000
Region III: Central Luzon,NUEVA ECIJA,QUEZON,Region III,PH034922000
Region III: Central Luzon,AURORA,DILASAG,Region III,PH037703000
Region IV-A: CALABARZON,BATANGAS,PADRE GARCIA,Region IV-A,PH041020000
Region IV-A: CALABARZON,BATANGAS,SANTA TERESITA,Region IV-A,PH041027000
Region V: Bicol Region,ALBAY,CITY OF LIGAO,Region V,PH050508000
Region V: Bicol Region,CATANDUANES,PANGANIBAN (PAYO),Region V,PH052007000
Region VI: Western Visayas,AKLAN,BALETE,Region VI,PH060402000
Region VI: Western Visayas,AKLAN,IBAJAY,Region VI,PH060406000
Region VI: Western Visayas,AKLAN,TANGALAN,Region VI,PH060417000
Region VI: Western Visayas,ANTIQUE,BELISON,Region VI,PH060603000
Region VI: Western Visayas,CAPIZ,DUMALAG,Region VI,PH061903000
Region VI: Western Visayas,CAPIZ,PANITAN,Region VI,PH061910000
Region VI: Western Visayas,CAPIZ,PONTEVEDRA,Region VI,PH061912000
Region VI: Western Visayas,ILOILO,ALIMODIAN,Region VI,PH063002000
Region VI: Western Visayas,ILOILO,BADIANGAN,Region VI,PH063004000
Region VI: Western Visayas,ILOILO,CALINOG,Region VI,PH063013000
Region VI: Western Visayas,NEGROS OCCIDENTAL,CAUAYAN,Region VI,PH064507000
Region VI: Western Visayas,NEGROS OCCIDENTAL,MURCIA,Region VI,PH064520000
Region VI: Western Visayas,NEGROS OCCIDENTAL,PONTEVEDRA,Region VI,PH064521000
Region VI: Western Visayas,NEGROS OCCIDENTAL,PULUPANDAN,Region VI,PH064522000
Region VI: Western Visayas,GUIMARAS,BUENAVISTA,Region VI,PH067901000
Region VI: Western Visayas,GUIMARAS,NUEVA VALENCIA,Region VI,PH067903000
Region VI: Western Visayas,GUIMARAS,SIBUNAG,Region VI,PH067905000
Region VII: Central Visayas,CEBU,GINATILAN,Region VII,PH072225000
Region VIII: Eastern Visayas,EASTERN SAMAR,ARTECHE,Region VIII,PH082601000
Region VIII: Eastern Visayas,EASTERN SAMAR,CAN-AVID,Region VIII,PH082605000
Region VIII: Eastern Visayas,EASTERN SAMAR,DOLORES,Region VIII,PH082606000
Region VIII: Eastern Visayas,EASTERN SAMAR,GUIUAN,Region VIII,PH082609000
Region VIII: Eastern Visayas,EASTERN SAMAR,MASLOG,Region VIII,PH082614000
Region VIII: Eastern Visayas,EASTERN SAMAR,SALCEDO,Region VIII,PH082619000
Region VIII: Eastern Visayas,LEYTE,CAPOOCAN,Region VIII,PH083714000
Region VIII: Eastern Visayas,LEYTE,HINDANG,Region VIII,PH083720000
Region VIII: Eastern Visayas,LEYTE,JULITA,Region VIII,PH083725000
Region VIII: Eastern Visayas,LEYTE,MATAG-OB,Region VIII,PH083733000
Region VIII: Eastern Visayas,LEYTE,SAN MIGUEL,Region VIII,PH083743000
Region VIII: Eastern Visayas,LEYTE,TABANGO,Region VIII,PH083745000
Region VIII: Eastern Visayas,NORTHERN SAMAR,CATARMAN (CAPITAL),Region VIII,PH084805000
Region VIII: Eastern Visayas,NORTHERN SAMAR,VICTORIA,Region VIII,PH084823000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),CALBIGA,Region VIII,PH086004000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),PINABACDAO,Region VIII,PH086013000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),SAN JOSE DE BUAN,Region VIII,PH086014000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),TARANGNAN,Region VIII,PH086020000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),VILLAREAL,Region VIII,PH086021000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,BONTOC,Region VIII,PH086402000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,LILOAN,Region VIII,PH086406000
CAR,ABRA,BUCAY,Cordillera Administrative Region,PH140103000
CAR,ABRA,LAGAYAN,Cordillera Administrative Region,PH140111000
CAR,ABRA,LUBA,Cordillera Administrative Region,PH140114000
CAR,BENGUET,KABAYAN,Cordillera Administrative Region,PH141107000
CAR,BENGUET,KAPANGAN,Cordillera Administrative Region,PH141108000
CAR,BENGUET,SABLAN,Cordillera Administrative Region,PH141112000
CAR,BENGUET,TUBA,Cordillera Administrative Region,PH141113000
CAR,IFUGAO,HUNGDUAN,Cordillera Administrative Region,PH142702000
CAR,IFUGAO,LAMUT,Cordillera Administrative Region,PH142705000
CAR,IFUGAO,AGUINALDO,Cordillera Administrative Region,PH142708000
CAR,KALINGA,LUBUAGAN,Cordillera Administrative Region,PH143206000
CAR,KALINGA,PASIL,Cordillera Administrative Region,PH143208000
CAR,KALINGA,RIZAL (LIWAN),Cordillera Administrative Region,PH143211000
CAR,KALINGA,TINGLAYAN,Cordillera Administrative Region,PH143215000
CAR,MOUNTAIN PROVINCE,BAUKO,Cordillera Administrative Region,PH144402000
CAR,MOUNTAIN PROVINCE,SABANGAN,Cordillera Administrative Region,PH144407000
CAR,MOUNTAIN PROVINCE,SADANGA,Cordillera Administrative Region,PH144408000
BARMM,LANAO DEL SUR,BALABAGAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153602000
BARMM,LANAO DEL SUR,TAMPARAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153626000
BARMM,MAGUINDANAO,DATU PAGLAS,Bangsamoro Autonomous Region in Muslim Mindanao,PH153805000
BARMM,MAGUINDANAO,PAGLAT,Bangsamoro Autonomous Region in Muslim Mindanao,PH153823000
BARMM,TAWI-TAWI,BONGAO (CAPITAL),Bangsamoro Autonomous Region in Muslim Mindanao,PH157002000
CARAGA,AGUSAN DEL NORTE,JABONGA,Region XIII,PH160205000
CARAGA,AGUSAN DEL SUR,CITY OF BAYUGAN,Region XIII,PH160301000
CARAGA,AGUSAN DEL SUR,SAN FRANCISCO,Region XIII,PH160308000
CARAGA,AGUSAN DEL SUR,SAN LUIS,Region XIII,PH160309000
CARAGA,AGUSAN DEL SUR,SIBAGAT,Region XIII,PH160314000
CARAGA,SURIGAO DEL NORTE,CLAVER,Region XIII,PH166706000
CARAGA,SURIGAO DEL NORTE,GIGAQUIT,Region XIII,PH166711000
CARAGA,SURIGAO DEL NORTE,SISON,Region XIII,PH166722000
CARAGA,SURIGAO DEL SUR,MADRID,Region XIII,PH166813000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,RIZAL,Region IV-B,PH175108000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,SAN JOSE,Region IV-B,PH175110000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,SANTA CRUZ,Region IV-B,PH175111000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,Region IV-B,PH175211000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,ROXAS,Region IV-B,PH175212000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,SAN TEODORO,Region IV-B,PH175213000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,SOCORRO,Region IV-B,PH175214000
Region IV-B: MIMAROPA,PALAWAN,CORON,Region IV-B,PH175309000
Region IV-B: MIMAROPA,PALAWAN,EL NIDO (BACUIT),Region IV-B,PH175312000
Region IV-B: MIMAROPA,PALAWAN,MAGSAYSAY,Region IV-B,PH175314000
Region IV-B: MIMAROPA,PALAWAN,PUERTO PRINCESA CITY (CAPITAL),Region IV-B,PH175316000
Region IV-B: MIMAROPA,PALAWAN,ROXAS,Region IV-B,PH175318000
Region IV-B: MIMAROPA,ROMBLON,CAJIDIOCAN,Region IV-B,PH175903000
Region IV-B: MIMAROPA,ROMBLON,MAGDIWANG,Region IV-B,PH175908000
Region IV-B: MIMAROPA,ROMBLON,SAN JOSE,Region IV-B,PH175914000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),PAGSANGHAN,Region VIII,PH086026000
Region I: Ilocos Region,ILOCOS SUR,BURGOS,Region I,PH012904000
Region I: Ilocos Region,ILOCOS SUR,LIDLIDDA,Region I,PH012911000
Region I: Ilocos Region,ILOCOS SUR,SINAIT,Region I,PH012930000
Region I: Ilocos Region,LA UNION,SANTOL,Region I,PH013318000
Region I: Ilocos Region,PANGASINAN,ALCALA,Region I,PH015504000
Region I: Ilocos Region,PANGASINAN,SAN NICOLAS,Region I,PH015536000
Region III: Central Luzon,BULACAN,DOÑA REMEDIOS TRINIDAD,Region III,PH031424000
Region III: Central Luzon,PAMPANGA,SAN LUIS,Region III,PH035417000
Region V: Bicol Region,CAMARINES NORTE,TALISAY,Region V,PH051611000
Region V: Bicol Region,CAMARINES SUR,GAINZA,Region V,PH051713000
Region V: Bicol Region,CAMARINES SUR,RAGAY,Region V,PH051730000
Region V: Bicol Region,CAMARINES SUR,TINAMBAC,Region V,PH051737000
Region V: Bicol Region,CATANDUANES,BARAS,Region V,PH052002000
Region VI: Western Visayas,AKLAN,BATAN,Region VI,PH060404000
Region VI: Western Visayas,ANTIQUE,BARBAZA,Region VI,PH060602000
Region VI: Western Visayas,CAPIZ,DUMARAO,Region VI,PH061904000
Region VI: Western Visayas,CAPIZ,PANAY,Region VI,PH061909000
Region VI: Western Visayas,ILOILO,LEMERY,Region VI,PH063027000
Region VI: Western Visayas,NEGROS OCCIDENTAL,CALATRAVA,Region VI,PH064505000
Region VI: Western Visayas,NEGROS OCCIDENTAL,SAN ENRIQUE,Region VI,PH064525000
Region VIII: Eastern Visayas,EASTERN SAMAR,CITY OF BORONGAN (CAPITAL),Region VIII,PH082604000
Region VIII: Eastern Visayas,EASTERN SAMAR,SAN POLICARPO,Region VIII,PH082621000
Region VIII: Eastern Visayas,LEYTE,ABUYOG,Region VIII,PH083701000
Region VIII: Eastern Visayas,LEYTE,MACARTHUR,Region VIII,PH083730000
Region VIII: Eastern Visayas,LEYTE,PASTRANA,Region VIII,PH083741000
Region VIII: Eastern Visayas,LEYTE,VILLABA,Region VIII,PH083751000
Region VIII: Eastern Visayas,NORTHERN SAMAR,MAPANAS,Region VIII,PH084812000
Region VIII: Eastern Visayas,NORTHERN SAMAR,SAN JOSE,Region VIII,PH084819000
Region VIII: Eastern Visayas,NORTHERN SAMAR,SAN ROQUE,Region VIII,PH084820000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),MOTIONG,Region VIII,PH086012000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),TAGAPUL-AN,Region VIII,PH086024000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,PADRE BURGOS,Region VIII,PH086410000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,SAINT BERNARD,Region VIII,PH086412000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,RIZAL,Region IX,PH097212000
CAR,ABRA,LA PAZ,Cordillera Administrative Region,PH140108000
CAR,IFUGAO,BANAUE,Cordillera Administrative Region,PH142701000
CAR,IFUGAO,KIANGAN,Cordillera Administrative Region,PH142703000
CAR,KALINGA,BALBALAN,Cordillera Administrative Region,PH143201000
CAR,KALINGA,TANUDAN,Cordillera Administrative Region,PH143214000
BARMM,LANAO DEL SUR,MADALUM,Bangsamoro Autonomous Region in Muslim Mindanao,PH153613000
BARMM,LANAO DEL SUR,TUGAYA,Bangsamoro Autonomous Region in Muslim Mindanao,PH153629000
BARMM,MAGUINDANAO,SHARIFF AGUAK (MAGANOY) (CAPITAL),Bangsamoro Autonomous Region in Muslim Mindanao,PH153808000
BARMM,TAWI-TAWI,PANGLIMA SUGALA (BALIMBING),Bangsamoro Autonomous Region in Muslim Mindanao,PH157001000
CARAGA,AGUSAN DEL NORTE,BUENAVISTA,Region XIII,PH160201000
CARAGA,AGUSAN DEL NORTE,CARMEN,Region XIII,PH160204000
CARAGA,SURIGAO DEL NORTE,MAINIT,Region XIII,PH166714000
CARAGA,SURIGAO DEL NORTE,PLACER,Region XIII,PH166717000
CARAGA,SURIGAO DEL NORTE,TUBOD,Region XIII,PH166727000
CARAGA,SURIGAO DEL SUR,BAYABAS,Region XIII,PH166802000
CARAGA,SURIGAO DEL SUR,SAN MIGUEL,Region XIII,PH166816000
CARAGA,DINAGAT ISLANDS,CAGDIANAO,Region XIII,PH168502000
CARAGA,DINAGAT ISLANDS,DINAGAT,Region XIII,PH168503000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,MAGSAYSAY,Region IV-B,PH175105000
Region IV-B: MIMAROPA,PALAWAN,ABORLAN,Region IV-B,PH175301000
Region IV-B: MIMAROPA,PALAWAN,BROOKE'S POINT,Region IV-B,PH175306000
Region IV-B: MIMAROPA,PALAWAN,SOFRONIO ESPAÑOLA,Region IV-B,PH175324000
Region IV-B: MIMAROPA,ROMBLON,ODIONGAN,Region IV-B,PH175909000
Region IV-B: MIMAROPA,ROMBLON,ROMBLON (CAPITAL),Region IV-B,PH175910000
Region IV-B: MIMAROPA,ROMBLON,SAN ANDRES,Region IV-B,PH175912000
Region VIII: Eastern Visayas,LEYTE,TUNGA,Region VIII,PH083750000
Region IV-A: CALABARZON,QUEZON,QUEZON,Region IV-A,PH045637000
Region VIII: Eastern Visayas,EASTERN SAMAR,QUINAPONDAN,Region VIII,PH082618000
Region I: Ilocos Region,ILOCOS NORTE,BURGOS,Region I,PH012806000
Region I: Ilocos Region,ILOCOS NORTE,BANNA (ESPIRITU),Region I,PH012811000
Region I: Ilocos Region,ILOCOS SUR,CERVANTES,Region I,PH012908000
Region I: Ilocos Region,LA UNION,BALAOAN,Region I,PH013305000
Region I: Ilocos Region,PANGASINAN,MABINI,Region I,PH015523000
Region I: Ilocos Region,PANGASINAN,MANAOAG,Region I,PH015525000
Region II: Cagayan Valley,QUIRINO,NAGTIPUNAN,Region II,PH025706000
Region III: Central Luzon,NUEVA ECIJA,LUPAO,Region III,PH034916000
Region IV-A: CALABARZON,QUEZON,UNISAN,Region IV-A,PH045649000
Region V: Bicol Region,CAMARINES SUR,GOA,Region V,PH051715000
Region V: Bicol Region,CAMARINES SUR,LUPI,Region V,PH051719000
Region V: Bicol Region,CATANDUANES,VIGA,Region V,PH052010000
Region VI: Western Visayas,AKLAN,BURUANGA,Region VI,PH060405000
Region VI: Western Visayas,ANTIQUE,TOBIAS FORNIER (DAO),Region VI,PH060607000
Region VI: Western Visayas,ANTIQUE,TIBIAO,Region VI,PH060617000
Region VI: Western Visayas,ILOILO,BATAD,Region VI,PH063009000
Region VI: Western Visayas,NEGROS OCCIDENTAL,CANDONI,Region VI,PH064506000
Region VII: Central Visayas,BOHOL,DAGOHOY,Region VII,PH071217000
Region VII: Central Visayas,CEBU,PORO,Region VII,PH072238000
Region VIII: Eastern Visayas,EASTERN SAMAR,MAYDOLONG,Region VIII,PH082615000
Region VIII: Eastern Visayas,LEYTE,BABATNGON,Region VIII,PH083705000
Region VIII: Eastern Visayas,LEYTE,LEYTE,Region VIII,PH083729000
Region VIII: Eastern Visayas,LEYTE,MAHAPLAG,Region VIII,PH083731000
Region VIII: Eastern Visayas,NORTHERN SAMAR,MONDRAGON,Region VIII,PH084813000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),SANTA MARGARITA,Region VIII,PH086016000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,SAN JUAN (CABALIAN),Region VIII,PH086414000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SALUG,Region IX,PH097213000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SIOCON,Region IX,PH097219000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,LAPUYAN,Region IX,PH097313000
Region XI: Davao Region,DAVAO DEL SUR,MAGSAYSAY,Region XI,PH112407000
Region XI: Davao Region,DAVAO ORIENTAL,MANAY,Region XI,PH112508000
Region XI: Davao Region,DAVAO ORIENTAL,TARRAGONA,Region XI,PH112511000
Region XI: Davao Region,DAVAO DE ORO,NEW BATAAN,Region XI,PH112317000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),ANTIPAS,Region XII,PH124715000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),ALEOSAN,Region XII,PH124717000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,T'BOLI,Region XII,PH126316000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,LEBAK,Region XII,PH126506000
CAR,ABRA,SALLAPADAN,Cordillera Administrative Region,PH140120000
CAR,ABRA,TINEG,Cordillera Administrative Region,PH140125000
CAR,ABRA,TUBO,Cordillera Administrative Region,PH140126000
CAR,BENGUET,KIBUNGAN,Cordillera Administrative Region,PH141109000
CAR,IFUGAO,MAYOYAO,Cordillera Administrative Region,PH142706000
BARMM,BASILAN,CITY OF LAMITAN (CAPITAL),Bangsamoro Autonomous Region in Muslim Mindanao,PH150702000
BARMM,MAGUINDANAO,SULTAN MASTURA,Bangsamoro Autonomous Region in Muslim Mindanao,PH153824000
BARMM,SULU,PARANG,Bangsamoro Autonomous Region in Muslim Mindanao,PH156609000
BARMM,SULU,PATIKUL,Bangsamoro Autonomous Region in Muslim Mindanao,PH156611000
CARAGA,SURIGAO DEL NORTE,DEL CARMEN,Region XIII,PH166708000
CARAGA,SURIGAO DEL NORTE,SAN ISIDRO,Region XIII,PH166720000
CARAGA,SURIGAO DEL NORTE,SOCORRO,Region XIII,PH166723000
CARAGA,SURIGAO DEL SUR,BAROBO,Region XIII,PH166801000
CARAGA,SURIGAO DEL SUR,LANUZA,Region XIII,PH166810000
CARAGA,SURIGAO DEL SUR,LIANGA,Region XIII,PH166811000
CARAGA,SURIGAO DEL SUR,TAGBINA,Region XIII,PH166817000
Region IV-B: MIMAROPA,MARINDUQUE,SANTA CRUZ,Region IV-B,PH174005000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,MANSALAY,Region IV-B,PH175207000
Region IV-B: MIMAROPA,PALAWAN,NARRA,Region IV-B,PH175315000
Region IV-B: MIMAROPA,ROMBLON,CALATRAVA,Region IV-B,PH175904000
Region IV-B: MIMAROPA,ROMBLON,LOOC,Region IV-B,PH175907000
Region IV-A: CALABARZON,QUEZON,PLARIDEL,Region IV-A,PH045635000
Region VI: Western Visayas,ANTIQUE,CALUYA,Region VI,PH060605000
Region VIII: Eastern Visayas,BILIRAN,KAWAYAN,Region VIII,PH087806000
CAR,BENGUET,BUGUIAS,Cordillera Administrative Region,PH141105000
BARMM,BASILAN,MALUSO,Bangsamoro Autonomous Region in Muslim Mindanao,PH150704000
Region IV-B: MIMAROPA,MARINDUQUE,GASAN,Region IV-B,PH174003000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,BANSUD,Region IV-B,PH175202000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,PINAMALAYAN,Region IV-B,PH175209000
Region IV-B: MIMAROPA,PALAWAN,TAYTAY,Region IV-B,PH175320000
Region IV-B: MIMAROPA,PALAWAN,RIZAL (MARCOS),Region IV-B,PH175323000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,IMELDA,Region IX,PH098304000
Region XI: Davao Region,DAVAO DEL NORTE,BRAULIO E. DUJALI,Region XI,PH112323000
Region XI: Davao Region,DAVAO DE ORO,MABINI (DOÑA ALICIA),Region XI,PH112323000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),ALAMADA,Region XII,PH124701000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),MAGPET,Region XII,PH124706000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),PRESIDENT ROXAS,Region XII,PH124713000
CAR,ABRA,LAGANGILANG,Cordillera Administrative Region,PH140110000
CAR,MOUNTAIN PROVINCE,PARACELIS,Cordillera Administrative Region,PH144406000
BARMM,BASILAN,TIPO-TIPO,Bangsamoro Autonomous Region in Muslim Mindanao,PH150706000
CARAGA,AGUSAN DEL NORTE,LAS NIEVES,Region XIII,PH160207000
CARAGA,AGUSAN DEL NORTE,SANTIAGO,Region XIII,PH160210000
CARAGA,AGUSAN DEL NORTE,TUBAY,Region XIII,PH160211000
CARAGA,AGUSAN DEL SUR,TALACOGON,Region XIII,PH160311000
CARAGA,SURIGAO DEL NORTE,MALIMONO,Region XIII,PH166715000
CARAGA,SURIGAO DEL NORTE,TAGANA-AN,Region XIII,PH166725000
CARAGA,SURIGAO DEL SUR,CORTES,Region XIII,PH166808000
CARAGA,SURIGAO DEL SUR,MARIHATAG,Region XIII,PH166814000
CARAGA,DINAGAT ISLANDS,SAN JOSE (CAPITAL),Region XIII,PH168506000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,GLORIA,Region IV-B,PH175206000
